Offer Description,Discount Amount,Code,View Details,Eligible Credit Cards
Flat Rs.300 off with RBL Bank Credit Card,Rs.300,ABHIRBLB,"Use code ABHIRBLB to Get FLAT Rs.300 Instant Discount with RBL Bank Credit Card only your 1st booking
Offer valid for all users, once per user during the offer period
Offer Valid on select RBL Bank Credit Cards only
Valid on a minimum transaction value of Rs.1500 (excluding service charge & taxes)
Offer valid only on private bus operator bookings, not on SRTCs
Offer is valid till 31 Aug 2025.
This offer cannot be combined with any other offer.
AbhiBus reserves the right to disqualify any transaction or discontinue the offer promotion at any time without notice or liability of whatsoever nature.","RBL Bank VCard
RBL Bank Cookie Credit Card
RBL Bank Shoprite Credit Card
RBL Platinum Maxima Plus Card
RBL Bank MoneyTap Black Card
RBL Bank Platinum Maxima Credit Card
RBL Bank Movies and More Credit Card
RBL Bank Paisabazaar Duet Plus Card
RBL Bank Bankbazaar Savemax Pro Credit Card
RBL Bank Bankbazaar Savemax Credit Card
RBL Bank iGlobe Credit Card 
RBL Bank Insignia Preferred Banking Card
RBL Bank Play Credit Card
RBL Bank World Safari Credit Card
RBL Bank Platinum Delight Credit Card 
RBL Bank Monthly Treats Credit Card  
RBL Bank Lazy Pay Credit Card 
RBL Bank Icon Credit Card
RBL Bank Paisabazaar Duet Card
RBL Bank MoneyTap Credit Card
RBL Bank Mocash Credit Card
RBL Bank Platinum Advantage Credit Card   
RBL Bank Platinum Plus Visa Credit Card 
RBL Bank Platinum ValuePlus MasterCard Credit Card  
RBL Bank Novio RuPay Credit Card
RBL Bank Platinum ValuePlus Credit Card 
RBL Bank Patanjali Vishisht RuPay Card 
RBL Bank Platinum Shopgain Visa Credit Card  
RBL Bank Platinum Bonus Credit Card  
RBL Bank Platinum ShopSmart MasterCard Credit Card  
RBL Bank Binge Credit Card     
TVS Credit RBL Bank Gold Mastercard Card 
IndianOil RBL Bank Credit Card
RBL Bank MyFirst Credit Card  
RBL Bank Platinum ShopDaily Credit Card 
RBL Bank Platinum Shopgain  Credit Card
RBL Bank Platinum Edge MasterCard 
RBL Bank MyFirst Mastercard Credit Card   
RBL Bank Platinum Choice Visa Credit Card   
RBL Bank EasySaver Visa Credit Card 
RBL Bank Play Credit Card
IRCTC RBL Bank Credit Card
TVS Credit RBL Bank Card 
RBL Bank SalarySe Up RuPay Credit Card
RBL Bank EasySaver Credit Card  
RBL Bank Binge MasterCard Credit Card    
RBL Bank World Prime Visa Credit Card 
RBL Bank Platinum Plus Credit Card  
RBL Bank World Max Credit Card  
IndianOil RBL Bank XTRA RuPay Credit Card
IndianOil RBL Bank RuPay Credit Card
RBL Bank World Prime Credit Card 
RBL Bank Platinum ShopDaily Visa Credit Card
RBL Bank Patanjali Swarn RuPay Card
RBL Bank Platinum Prime Credit Card 
RBL Bank World Max MasterCard Credit Card
RBL Bank Platinum Choice Credit Card
RBL Bank Platinum Shopsmart Credit Card 
RBL Bank World Plus MasterCard Credit Card 
RBL Bank World Plus Credit Card  
Indianoil RBL Bank Xtra Credit Card
RBL Bank DMI Finance Credit Card
RBL Bank Platinum TravelEasy Visa Credit Card 
RBL Bank Platinum LifeEasy Visa Credit Card
RBL Bank Platinum TravelEasy Credit Card 
RBL Bank Platinum Edge Credit Card
RBL Bank Platinum LifeEasy Credit Card"
Get Rs. 200 OFF with SBI Credit Card,Rs. 200,SBICAB,"Use code SBICAB to get flat Rs. 200 off on your bus booking.
Offer valid on a minimum transaction value of Rs.2000 (excluding service charges and taxes).
Maximum discount per transaction is Rs.200.
The coupon code is valid only for payments made on Thursday or Friday during the offer period.
Discount is applicable once per SBI Credit Card, per month during the offer period.
Offer is exclusively valid for SBI Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.","BPCL SBI Card Octane
Paytm SBI Card Select
IRCTC Rupay SBI Card
Air India SBI Signature Card
IRCTC SBI Platinum Card
IRCTC SBI Card Premier
Ola Money SBI Credit Card
Cashback SBI Credit Card
Aditya Birla SBI Card Select
Spar SBI Card Prime
Lifestyle Home Centre SBI Card Prime
Max SBI Card Prime
FabIndia SBI Card Select
BPCL SBI Credit Card
Paytm SBI Credit Card
Apollo SBI Card Select
Air India SBI Platinum Credit Card
SBI Card Prime
PSB SBI Card Prime
SBI Card Prime Advantage 
Central Bank of India SBI Prime Card 
City Union Bank SBI Card Prime
Aurum Credit Card
UCO Bank SBI Card Prime
Reliance SBI Card Prime
Tata Star Titanium Card
SBI Pulse Credit Card 
Lifestyle Home Centre SBI Card Select
Max SBI Card Select
Spar SBI Card Select
Shaurya Select SBI Credit Card
FabIndia SBI Card
Simplyclick SBI Card
Aditya Birla SBI Card
Simplyclick Advantage SBI Card
UCO Bank SBI Card Elite
Central Bank of India SBI Elite Credit Card
SBI Card Elite
PSB SBI Card Elite
Etihad Guest Premier SBI Card
Club Vistara SBI Card
Titan SBI Credit Card
Club Vistara SBI Card Prime
Shaurya SBI Card
Reliance SBI Card
Yatra SBI Card
SimplySave SBI Card
Spar SBI Card
Simplysave Advantage SBI Card
Max SBI Credit Card
Lifestyle Home Centre SBI Card
Etihad Guest SBI Card
Doctor's SBI Card (In Association With IMA)
Doctor's SBI Card 
SBI Card Unnati
KrisFlyer SBI Card
Tata Neu Infinity RuPay SBI Card
SBI Card Miles
Tata Neu Plus Visa SBI Card
Tata Neu Infinity SBI Card 
""Tata Neu Plus SBI Card
""
Miles Elite SBI Card"
Flat Rs.150 off with AU Bank Credit Card,Rs.150,IXIGOCCBUS,"Apply code IXIGOCCBUS and get flat 10% upto Rs.300 off on your bookings
This offer is applicable only on payments via ixigo - AU bank Credit Card
No minimum transaction value
Users should be logged in to AbhiBus to avail the offer
Offer valid only for Private Bus bookings, and not on Govt SRTC bookings
This offer cannot be combined with any other offer
ixigo and AbhiBus reserves the right to disqualify any transaction or discontinue the offer promotion at any time without notice or liability of whatsoever nature",Ixigo AU Travel Credit Card
Flat 10% off via ixigo - AU Bank Credit Card,10%,ABHIAU150,"Use code ABHIAU150 to Get FLAT Rs. 150 instant discount with an AU Bank Credit Card on your bus booking.
Offer valid for all users, once per user during the offer period.
Offer valid on select AU Bank Credit Cards only.
Valid on a minimum transaction value of Rs. 1500 (excluding service charge & taxes).
Offer valid only on private bus operator bookings, not on SRTCs.
Offer is valid until 30 Sept 2025.
This offer cannot be combined with any other offer.
AbhiBus reserves the right to disqualify any transaction or discontinue the offer promotion at any time without notice or liability of whatsoever nature.","AU Altura Credit Card
AU Bank Zenith+ Credit Card
AU Vetta Credit Card
AU Bank InstaPay Credit Card
AU Bank Altura Plus Credit Card 
AU Zenith Credit Card 
Ixigo AU Travel Credit Card
AU LIT Credit Card"
Get Rs. 100 OFF with SBM ZET Credit Card,Rs. 100,ABHIZET,"Use code ABHIZET to get 10% discount (up to Rs.100) on your bus booking.
Offer valid on a minimum transaction value of Rs.500 (excluding service charges and taxes).
Maximum discount per transaction is Rs.100.
Discount is applicable twice per SBM ZET Credit Card, per month during the offer period.
Offer is exclusively valid for SBM ZET Credit Card holders.
This offer cannot be combined with any other ongoing promotions or discounts.
AbhiBus reserves the right to disqualify any transaction or discontinue the promotion at any time without prior notice or liability.",SBM Zet Credit Card
