Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Up to Rs. 500 Instant Discount,Coupon Code : YTBUS. Valid till: Dec 31 2026.,YTBUS,https://www.yatra.com/ythomepagecms/media/todayspick_bus/2020/Oct/288fbb0a3e55323e22c5e5cf70adbb19.jpg,https://www.yatra.com/offer/details/ytbus-offer,,,,,Non Payment
Up to Rs. 500 Instant Discount,Coupon Code : UPIBUS. Valid till: Dec 31 2026.,UPIBUS,https://www.yatra.com/ythomepagecms/media/todayspick_bus/2021/Sep/584f264a5d0fc422fbea5b3af0acb9b2.jpg,https://www.yatra.com/offer/details/bus-sale-upi,,,,,Non Payment
Upto 5% Off + redeem 10% eCash,Coupon Code : BUSONYATRA. Valid till: Dec 31 2026.,BUSONYATRA,https://www.yatra.com/ythomepagecms/media/todayspick_bus/2018/Apr/a939532032ea374907bce80f91b8c3e3.jpg,https://www.yatra.com/offer/details/yatra-bus-offer-busonyatra,,,,,Non Payment
